n,schedule,family,step,moves,pebbles,state_size,temps,time,time_pred,baseline_time,time_ratio,peak_space,declared_space,space_pred,output_ok
16,optimal(s=14),optimal,step_fib.srl,35,14,2,0,105,105,48,2.1875,29,30,30,True
16,optimal(s=14),optimal,step_lcg.srl,35,14,1,0,35,35,16,2.1875,15,15,15,True
16,optimal(s=14),optimal,step_tri.srl,35,14,1,2,438,438,204,2.1471,17,17,17,True
16,optimal(s=15),optimal,step_fib.srl,33,15,2,0,99,99,48,2.0625,31,32,32,True
16,optimal(s=15),optimal,step_lcg.srl,33,15,1,0,33,33,16,2.0625,16,16,16,True
16,optimal(s=15),optimal,step_tri.srl,33,15,1,2,402,402,204,1.9706,18,18,18,True
16,optimal(s=16),optimal,step_fib.srl,31,16,2,0,93,93,48,1.9375,33,34,34,True
16,optimal(s=16),optimal,step_lcg.srl,31,16,1,0,31,31,16,1.9375,17,17,17,True
16,optimal(s=16),optimal,step_tri.srl,31,16,1,2,390,390,204,1.9118,19,19,19,True
64,linear,linear,step_fib.srl,127,64,2,0,381,381,192,1.9844,129,130,130,True
64,linear,linear,step_lcg.srl,127,64,1,0,127,127,64,1.9844,64,65,65,True
64,linear,linear,step_tri.srl,127,64,1,2,2118,2118,1068,1.9831,67,67,67,True
64,"bennett(k=6,m=2)",bennett,step_fib.srl,729,7,2,0,2187,2187,192,11.3906,15,16,16,True
64,"bennett(k=6,m=2)",bennett,step_lcg.srl,729,7,1,0,729,729,64,11.3906,8,8,8,True
64,"bennett(k=6,m=2)",bennett,step_tri.srl,729,7,1,2,10722,10722,1068,10.0393,10,10,10,True
64,"bennett(k=3,m=4)",bennett,step_fib.srl,343,10,2,0,1029,1029,192,5.3594,21,22,22,True
64,"bennett(k=3,m=4)",bennett,step_lcg.srl,343,10,1,0,343,343,64,5.3594,11,11,11,True
64,"bennett(k=3,m=4)",bennett,step_tri.srl,343,10,1,2,5598,5598,1068,5.2416,13,13,13,True
64,"bennett(k=2,m=8)",bennett,step_fib.srl,225,15,2,0,675,675,192,3.5156,31,32,32,True
